timestamps,open,high,low,close,volume,amount
2025-06-22 22:00:00,21399.08,21549.38,21363.4,21535.85,10735.0,231187349.74999997
2025-06-22 22:30:00,21536.31,21581.7,21536.31,21557.19,3746.0,80753233.74
2025-06-22 23:00:00,21556.65,21560.89,21526.69,21553.83,2913.0,62786306.79000001
2025-06-22 23:30:00,21554.09,21568.12,21540.18,21558.72,2079.0,44820578.88
2025-06-23 00:00:00,21558.97,21559.15,21505.47,21516.49,3864.0,83139717.36
2025-06-23 00:30:00,21516.49,21535.91,21507.72,21529.45,2233.0,48075261.85
2025-06-23 01:00:00,21529.27,21548.09,21513.06,21514.69,2342.0,50387403.98
2025-06-23 01:30:00,21514.92,21538.63,21510.21,21537.22,1611.0,34696461.42
2025-06-23 02:00:00,21537.45,21555.54,21535.55,21552.69,1558.0,33579091.019999996
2025-06-23 02:30:00,21552.69,21569.21,21546.79,21556.68,1421.0,30632042.28
2025-06-23 03:00:00,21556.68,21566.41,21553.8,21559.23,1149.0,24771555.27
2025-06-23 03:30:00,21559.06,21570.44,21555.94,21564.67,1166.0,25144405.22
2025-06-23 04:00:00,21565.09,21571.42,21555.82,21565.0,1017.0,21931605.0
2025-06-23 04:30:00,21564.97,21567.15,21557.0,21562.73,807.0,17401123.11
2025-06-23 05:00:00,21562.48,21612.98,21561.75,21596.49,2002.0,43236172.980000004
2025-06-23 05:30:00,21596.53,21607.65,21588.46,21607.42,1571.0,33945256.82
2025-06-23 06:00:00,21607.24,21625.87,21596.08,21607.44,2074.0,44813830.559999995
2025-06-23 06:30:00,21607.23,21632.91,21602.42,21617.06,1887.0,40791392.22
2025-06-23 07:00:00,21617.53,21670.13,21617.26,21649.01,3653.0,79083833.53
2025-06-23 07:30:00,21649.49,21702.13,21644.78,21694.14,2982.0,64691925.48
2025-06-23 08:00:00,21692.95,21741.92,21677.52,21707.24,3654.0,79318254.96000001
2025-06-23 08:30:00,21707.02,21716.67,21695.29,21704.95,2483.0,53893390.85
2025-06-23 09:00:00,21704.53,21731.67,21679.56,21697.92,2732.0,59278717.44
2025-06-23 09:30:00,21697.5,21704.42,21681.26,21681.28,1537.0,33324127.36
2025-06-23 10:00:00,21681.28,21721.88,21665.18,21669.45,3628.0,78616764.60000001
2025-06-23 10:30:00,21669.26,21679.46,21644.3,21655.27,2425.0,52514029.75
2025-06-23 11:00:00,21655.67,21661.68,21589.26,21610.98,3291.0,71121735.17999999
2025-06-23 11:30:00,21610.9,21626.48,21572.41,21623.0,3779.0,81713317.0
2025-06-23 12:00:00,21623.57,21651.41,21615.17,21635.44,2956.0,63954360.63999999
2025-06-23 12:30:00,21635.69,21683.93,21633.71,21681.25,2431.0,52707118.75
2025-06-23 13:00:00,21681.2,21686.95,21654.01,21666.87,4032.0,87360819.83999999
2025-06-23 13:30:00,21667.12,21726.21,21556.92,21722.82,17467.0,379432496.94
2025-06-23 14:00:00,21723.26,21807.93,21723.26,21780.17,9860.0,214752476.2
2025-06-23 14:30:00,21780.47,21813.9,21747.07,21750.5,7794.0,169523397.0
2025-06-23 15:00:00,21750.95,21801.95,21741.79,21743.27,5760.0,125241235.2
2025-06-23 15:30:00,21742.75,21763.47,21719.01,21734.51,7651.0,166290736.01
2025-06-23 16:00:00,21734.75,21740.2,21653.31,21659.03,8170.0,176954275.1
2025-06-23 16:30:00,21658.55,21710.03,21537.01,21635.56,27148.0,587362182.88
2025-06-23 17:00:00,21635.98,21827.15,21617.25,21813.41,18185.0,396676860.85
