timestamps,open,high,low,close,volume,amount
2025-06-22 22:00:00,41894.3,42097.3,41857.9,42079.9,6490.0,273098551.0
2025-06-22 22:30:00,42080.4,42168.2,42080.4,42117.9,1835.0,77286346.5
2025-06-22 23:00:00,42117.7,42118.5,42066.8,42105.3,1789.0,75326381.7
2025-06-22 23:30:00,42104.8,42118.9,42079.1,42101.9,1238.0,52122152.2
2025-06-23 00:00:00,42101.0,42107.3,42041.0,42048.9,2784.0,117064137.60000001
2025-06-23 00:30:00,42048.1,42068.3,42037.0,42054.9,1332.0,56017126.800000004
2025-06-23 01:00:00,42055.5,42085.4,42041.1,42044.5,1522.0,63991729.0
2025-06-23 01:30:00,42044.0,42076.5,42037.9,42075.9,971.0,40855698.9
2025-06-23 02:00:00,42076.5,42093.4,42068.1,42082.9,825.0,34718392.5
2025-06-23 02:30:00,42082.1,42101.3,42078.1,42088.5,628.0,26431578.0
2025-06-23 03:00:00,42087.9,42098.3,42082.9,42087.5,515.0,21675062.5
2025-06-23 03:30:00,42088.4,42108.5,42084.9,42096.6,532.0,22395391.2
2025-06-23 04:00:00,42097.4,42110.3,42090.9,42097.9,515.0,21680418.5
2025-06-23 04:30:00,42098.5,42100.3,42084.9,42091.9,320.0,13469408.0
2025-06-23 05:00:00,42092.5,42155.5,42090.1,42128.0,1229.0,51775312.0
2025-06-23 05:30:00,42127.1,42138.5,42116.8,42136.9,950.0,40030055.0
2025-06-23 06:00:00,42135.3,42157.4,42104.1,42116.0,1528.0,64353248.0
2025-06-23 06:30:00,42116.5,42161.7,42105.9,42128.8,1515.0,63825132.00000001
2025-06-23 07:00:00,42130.2,42232.4,42126.1,42213.8,3515.0,148381507.0
2025-06-23 07:30:00,42215.1,42268.6,42198.5,42258.5,2993.0,126479690.5
2025-06-23 08:00:00,42256.5,42323.4,42235.1,42284.0,3194.0,135055096.0
2025-06-23 08:30:00,42283.0,42291.8,42267.9,42285.3,1757.0,74295272.10000001
2025-06-23 09:00:00,42285.9,42305.4,42232.5,42271.1,2460.0,103986906.0
2025-06-23 09:30:00,42270.8,42281.4,42259.4,42268.2,1126.0,47593993.199999996
2025-06-23 10:00:00,42267.2,42304.1,42226.9,42229.5,2994.0,126435123.0
2025-06-23 10:30:00,42228.9,42242.4,42212.9,42216.5,1830.0,77256195.0
2025-06-23 11:00:00,42217.0,42225.5,42131.2,42143.9,2604.0,109742715.60000001
2025-06-23 11:30:00,42144.3,42161.2,42092.4,42153.9,3245.0,136789405.5
2025-06-23 12:00:00,42154.4,42190.6,42142.9,42174.2,2505.0,105646371.0
2025-06-23 12:30:00,42173.9,42260.3,42170.0,42256.5,1911.0,80752171.5
2025-06-23 13:00:00,42257.3,42266.8,42200.8,42239.2,3273.0,138248901.6
2025-06-23 13:30:00,42238.8,42367.4,42146.9,42366.8,15260.0,646517368.0
2025-06-23 14:00:00,42367.4,42458.5,42366.9,42391.5,10550.0,447230325.0
2025-06-23 14:30:00,42392.4,42410.5,42271.1,42272.4,7968.0,336826483.2
2025-06-23 15:00:00,42273.3,42367.3,42269.9,42296.0,6435.0,272174760.0
2025-06-23 15:30:00,42296.5,42317.5,42230.7,42249.5,8267.0,349276616.5
2025-06-23 16:00:00,42250.3,42271.5,42152.1,42164.0,9689.0,408526996.0
2025-06-23 16:30:00,42163.1,42238.4,41999.0,42100.9,28473.0,1198738925.7
2025-06-23 17:00:00,42100.0,42449.2,42077.1,42430.9,19179.0,813782231.1
2025-06-23 17:30:00,42431.4,42549.5,42431.4,42512.5,12582.0,534892275.0
2025-06-23 18:00:00,42513.3,42560.3,42502.1,42521.9,8155.0,346766094.5
2025-06-23 18:30:00,42522.4,42555.3,42436.9,42511.4,8051.0,342259281.40000004
2025-06-23 19:00:00,42510.9,42573.4,42504.9,42559.0,6956.0,296040404.0
2025-06-23 19:30:00,42559.5,42645.4,42533.0,42616.4,8950.0,381416780.0
2025-06-23 20:00:00,42615.9,42625.3,42598.2,42611.8,2660.0,113347388.00000001
2025-06-23 20:30:00,42611.5,42635.2,42608.0,42629.2,1059.0,45144322.8
2025-06-23 22:00:00,42612.2,42794.2,42612.2,42756.4,4448.0,190180467.20000002
