train,test,is_feasible,is_RF,is_PF,is_DD%,is_trades,oos_RF,oos_PF,oos_DD%,oos_trades,oos_net,oosDEF_RF,oosDEF_PF,oosDEF_net
2010-2012,2013,True,4.0508,1.6126,12.0317,192,0.2926,1.1185,17.1191,81,261.5588,-0.9743,0.1237,-461.1938
2011-2013,2014,True,4.3968,1.5715,7.8376,175,-0.925,0.6424,16.5208,84,-768.2378,0.2908,1.379,50.9967
2012-2014,2015,False,0.9921,1.4135,12.6717,86,-0.3734,0.85,5.8213,40,-110.0736,3.5681,3.6677,518.16
2013-2015,2016,True,3.6779,1.3986,14.8929,363,-0.5533,0.7384,32.3705,116,-1046.9402,2.9487,3.0741,324.9449
2014-2016,2017,True,2.0929,1.3219,8.6505,152,1.2876,1.3688,4.2607,40,297.7774,0.0341,1.0408,4.196
2015-2017,2018,True,4.8759,1.4271,11.2108,369,3.9862,1.8345,7.741,120,2437.0389,-0.5186,0.6158,-59.9353
2016-2018,2019,True,7.8967,1.6659,14.1547,395,-0.7278,0.6952,24.3268,106,-885.3143,-0.7856,0.1892,-282.1873
2017-2019,2020,True,6.3194,1.5085,14.852,380,1.7336,1.3454,9.4694,126,1089.803,1.0884,1.9246,95.5009
2018-2020,2021,True,6.07,1.5,13.53,446,-0.9143,0.5059,45.5287,138,-2165.9028,-0.8433,0.1332,-201.9508
2019-2021,2022,False,1.1477,1.1874,7.7539,143,-0.3202,0.8023,14.6504,49,-243.9335,-0.9055,0.3606,-101.5688
2020-2022,2023,True,2.0066,1.4895,11.6074,158,-0.8645,0.4871,19.0473,67,-832.9249,-0.9229,0.2124,-200.1922
2021-2023,2024,False,0.8878,1.2992,5.7405,60,-0.3747,0.6898,3.444,13,-64.994,0.2112,1.2113,26.7518
2022-2024,2025,False,0.7449,1.313,7.0052,62,-0.4977,0.5214,7.4345,21,-190.3477,-0.7052,0.1478,-99.0992
2023-2025,2026,False,-0.0125,0.9976,12.364,120,-0.247,0.7831,9.1823,24,-121.2366,-0.8395,0.0,-61.532
