variant,fold,train,test,feasible,IS_sharpe,IS_pf,IS_dd,IS_trades,OOS_sharpe,OOS_pf,OOS_dd,OOS_trades,OOS_net
default,1,2010-2012,2013,True,1.3888,1.4262,3.1823,319,-0.3077,0.934,6.2766,145,-36.4716
default,2,2011-2013,2014,False,0.7074,1.2036,6.2666,393,0.5209,1.1596,6.3585,132,84.5908
default,3,2012-2014,2015,False,0.8262,1.2641,6.2046,404,-1.398,0.6577,7.7974,120,-136.7487
default,4,2013-2015,2016,False,0.711,1.2151,9.8581,385,0.3412,1.0952,2.9629,118,40.3704
default,5,2014-2016,2017,False,0.9193,1.3016,6.6941,359,-0.0382,0.9879,5.8823,100,-5.2337
default,6,2015-2017,2018,False,0.9093,1.3148,5.5576,334,2.3269,2.0402,3.4962,106,310.7351
default,7,2016-2018,2019,True,1.2103,1.3389,7.094,331,-1.6832,0.694,16.9812,131,-288.2986
default,8,2017-2019,2020,False,0.8303,1.2795,8.3547,259,1.1269,1.3808,6.6948,98,316.0095
default,9,2018-2020,2021,True,1.237,1.4605,8.2734,359,0.851,1.2468,4.4921,129,102.2098
default,10,2019-2021,2022,False,0.7643,1.2432,10.0021,379,-0.814,0.8204,7.1872,130,-100.0319
default,11,2020-2022,2023,False,0.6392,1.1741,6.6989,388,-0.8876,0.8138,5.6881,122,-76.1585
default,12,2021-2023,2024,False,0.6023,1.1832,9.0945,351,-1.2688,0.734,12.0203,119,-169.7272
default,13,2022-2024,2025-2026,False,0.3117,1.0897,10.1683,350,1.1159,1.3379,3.8135,167,273.888
gong,1,2010-2012,2013,True,1.379,1.4449,3.0018,317,0.0244,1.0067,7.0293,144,3.6631
gong,2,2011-2013,2014,False,0.7344,1.2163,6.1018,391,0.8621,1.326,4.9984,130,149.2032
gong,3,2012-2014,2015,False,0.9002,1.3266,7.0702,403,-1.4247,0.6629,8.6432,120,-148.8645
gong,4,2013-2015,2016,False,0.7488,1.2411,9.6085,384,0.1686,1.0461,3.2783,118,20.343
gong,5,2014-2016,2017,False,0.8749,1.2902,10.0145,364,0.2631,1.0856,7.8549,100,58.1521
gong,6,2015-2017,2018,False,0.8724,1.2959,6.4871,334,2.3188,1.9855,3.4304,106,325.87
gong,7,2016-2018,2019,True,1.1584,1.4292,6.0279,329,-0.9634,0.7833,12.126,127,-117.4014
gong,8,2017-2019,2020,False,0.7789,1.2689,9.2265,332,1.0029,1.3155,4.2734,122,182.9319
gong,9,2018-2020,2021,True,1.2058,1.4386,8.8051,359,0.9966,1.371,4.5919,129,154.1221
gong,10,2019-2021,2022,False,0.9149,1.3247,9.6718,380,-1.6721,0.6854,8.7158,133,-163.4909
gong,11,2020-2022,2023,False,0.7424,1.2344,6.0211,384,0.4262,1.1419,7.2775,119,65.2331
gong,12,2021-2023,2024,False,0.8459,1.2911,9.6648,350,-1.129,0.757,13.3706,119,-178.2961
gong,13,2022-2024,2025-2026,False,0.3257,1.0948,10.3868,349,0.5728,1.1562,5.3399,168,143.045
