train,test,is_feasible,is_RF,is_PF,is_DD%,is_trades,oos_RF,oos_PF,oos_DD%,oos_trades,oos_net,oosDEF_RF,oosDEF_PF,oosDEF_net
2010-2012,2013,True,9.4861,1.685,8.941,329,-0.7595,0.7804,20.535,139,-785.5632,-0.3836,0.783,-296.5237
2011-2013,2014,True,4.0591,1.624,7.6769,200,-0.6098,0.7743,12.1213,79,-373.6206,-0.2791,0.9161,-78.6483
2012-2014,2015,True,4.305,1.5623,6.9337,174,0.5559,1.2191,8.7618,50,260.9955,4.4023,2.9886,1133.2152
2013-2015,2016,True,2.9212,1.4481,9.7479,168,0.801,1.3276,6.1322,44,271.5837,1.5566,1.7216,447.3791
2014-2016,2017,True,5.0664,1.6771,6.3969,152,2.7439,1.9919,3.1262,31,446.5935,2.9902,2.0316,510.0752
2015-2017,2018,True,5.2466,1.8311,5.9837,152,-0.1978,0.9092,8.3327,50,-84.6454,-0.3477,0.8783,-89.6692
2016-2018,2019,True,3.5359,1.5031,5.4666,150,-0.3852,0.814,11.0697,57,-218.9404,-0.6791,0.5725,-380.781
2017-2019,2020,False,2.5806,1.2869,14.4123,351,0.9121,1.2889,11.1482,118,601.1366,0.4859,1.2568,146.7087
2018-2020,2021,True,3.8587,1.3349,10.5253,364,-0.7454,0.7836,15.9028,118,-599.4951,2.2336,1.776,541.4078
2019-2021,2022,True,3.1605,1.3808,5.1014,156,0.0074,1.0023,7.9278,60,2.9554,-0.5879,0.6061,-316.4984
2020-2022,2023,True,2.9504,1.6444,9.6057,166,-0.9117,0.5361,16.478,74,-760.1473,-0.8609,0.4113,-514.7622
2021-2023,2024,False,1.7886,1.317,6.4805,124,-0.8309,0.6006,6.832,41,-283.8509,-0.376,0.7452,-153.5335
2022-2024,2025,False,1.1242,1.302,9.389,139,0.8473,1.3421,4.1837,46,186.3407,-0.1964,0.8973,-68.6572
2023-2025,2026,False,2.2636,1.3562,5.0965,132,0.5113,1.4016,5.3958,26,145.6147,-0.186,0.8264,-37.4473
